387.08381	0.00057
393.53067	0.00045
399.98250	0.00728
406.50617	0.11462
408.30824	0.17590
410.40693	0.24222
412.16275	0.32080
413.14666	0.38539
414.36428	0.44898
415.59334	0.52858
416.82044	0.60543
418.05049	0.68640
419.27906	0.76531
420.74384	0.84669
421.72918	0.91330
425.82107	0.98031
431.13177	0.94856
434.89633	0.88561
437.78127	0.82195
440.37212	0.75684
443.25345	0.68815
446.13911	0.62550
449.31937	0.56504
453.37949	0.50559
458.90172	0.44182
464.72138	0.38417
469.07304	0.32262
472.83742	0.25941
477.48125	0.19663
483.30208	0.14062
489.71773	0.09683
496.14176	0.06476
503.73316	0.02598
510.17272	0.01563
516.61364	0.00720
523.05697	0.00213
527.74393	-0.00030
